DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2019,0.24,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2020,4.78,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2021,5.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2022,8.06,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2014,384.75,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2015,341.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2016,402.40,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2017,515.04,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2018,608.59,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2019,708.92,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2020,507.50,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2021,1004.62,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SE,2022,793.85,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2014,2.35,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2015,2.35,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2016,2.98,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2017,3.75,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2018,4.39,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2019,5.78,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2020,1.71,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2021,4.87,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SI,2022,5.23,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2014,1.23,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2015,2.20,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2016,2.99,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2017,3.63,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2018,4.16,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2019,5.91,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2020,2.83,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,SK,2021,9.31,
